time,cx,cy,px,py,theta,v,omega
1774377071.9172502,1528,1036,1643,558,0.23609877813260277,-65.18993312843149,21.99609768391222
1774377071.9852061,1524,1034,1643,556,0.24399392686220162,-58.861641663275186,0.11618035384997738
1774377072.056158,1542,1048,1647,559,0.21151226910104465,253.6928567108208,-0.45779803045172857
1774377072.1171682,1527,1040,1644,558,0.23813280430420927,-245.86084136071435,0.4363298121681713
1774377072.185293,1531,1047,1641,558,0.22126578054734308,58.71579359968642,-0.24759017138729067
1774377072.259776,1528,1040,1640,558,0.2283135394129234,-40.27756277908484,0.09462218338675432
1774377072.320666,1421,869,1639,559,0.6128876557907714,-1757.2683767243168,6.315887226331677
1774377072.3912199,1502,1005,1625,567,0.27377070446322926,1148.0603938849165,-4.80650297177963
1774377072.4465852,1423,867,1638,559,0.6094173500871243,-1426.88589650287,6.062398289230792
1774377072.473711,1421,873,1637,556,0.5981251789774865,-73.73044808128395,-0.4162884178620607
1774377072.51234,1422,869,1640,644,0.7695981239074701,25.887249879645974,4.438962973001257
1774377072.545332,1559,1061,1646,645,0.20616321704540047,4152.536154591047,-17.077984098564844
1774377072.579628,1558,1068,1643,646,0.19876230159567426,-29.15788888270953,-0.215795070313445
1774377072.612598,1421,874,1637,597,0.6622916076527677,-4155.298786572755,14.0591442554741
1774377072.649809,1425,868,1634,561,0.5977110363816764,107.49526506657098,-1.7355264067341343
1774377072.716776,1536,1053,1633,562,0.19504446700320333,1657.5325548276844,-6.012909436807203
1774377072.7852092,1535,1047,1027,798,-1.1150536914729596,-14.612772184092256,-19.14416592861096
1774377072.855308,1524,1047,1035,790,-1.0869085671523004,-156.92120156726165,0.4015060660597998
1774377072.9180741,1537,1066,1048,765,-1.019027254135641,207.1182557167819,1.0814968575211819
1774377072.985675,1541,1073,1075,827,-1.085080993404458,59.170752524344095,-0.9771123648956795
1774377073.054646,1429,868,1127,877,-1.6005888336228205,-1623.8728174637467,-7.474278293928957
1774377073.112721,1548,1056,1114,832,-1.09432890732119,2049.07619548082,8.717354316895339
1774377073.145975,1541,1050,1075,771,-1.031324094949536,-210.50006452630524,1.8946452956715603
1774377073.18013,1536,1054,1635,562,0.19856789225536595,-146.39191377673535,36.00924834911954
1774377073.213109,1536,1038,1635,561,0.20464180982977792,0.0,0.18417524636380123
1774377073.2491279,1597,1069,1633,560,0.07060933588446747,1693.5577531540835,-3.721175990565626
1774377073.2749481,1425,873,1633,562,0.5894851821499695,-6661.436850172671,20.09569001731131
1774377073.3131788,1501,1015,1627,564,0.27243290319969954,1987.9333711670024,-8.293142180655144
1774377073.348474,1417,870,1649,646,0.8029402234548508,-2379.9237768425887,15.030559348384292
1774377073.379464,1504,1021,1636,650,0.3418281774101662,2807.3675998799827,-14.879436988278325
1774377073.41503,1517,1042,1640,649,0.3033194620025432,365.516688453159,-1.0827367794138067
1774377073.448842,1553,1074,1643,648,0.2082059495239874,1064.709303473466,-2.813006711721055
1774377073.474499,1508,1067,1644,649,0.31455643390635013,-1753.9115162666221,4.145096429305767
1774377073.515987,1213,424,1643,650,2.054698992232865,-7110.50139932074,41.943342698299176
1774377073.547283,1511,1069,1638,555,0.2422301588247842,9521.979141431455,-57.91372626243741
1774377073.580596,1513,1068,1636,557,0.23621100593134445,60.03655752370728,-0.180684609465492
1774377073.6143339,1419,873,1636,557,0.6017499284787893,-2786.184259435929,10.834668002264467
1774377073.6494222,1496,1026,1630,556,0.27773754551737884,2194.4636375372866,-9.234199902865209
1774377073.674191,1226,403,1043,710,-2.6040522240590813,-10900.797782227013,-116.34743529275399
1774377073.7162108,1495,1000,1039,741,-1.0542519096110403,6401.737227934001,36.88258129689905
1774377073.746738,1223,405,1036,740,-2.632468835510973,-8910.111590128085,-51.69885633528422
1774377073.782141,1577,1021,1029,731,-1.0840647958037894,9999.14887770976,43.73650428214504
1774377073.814954,1420,872,1022,730,-1.2280907563093137,-4784.678466591101,-4.389286062808169
1774377073.8506591,1420,870,1648,645,0.7920205831401161,0.0,56.577685809760425
1774377073.874495,1441,865,1634,550,0.5497042845240224,881.024096024006,-10.166023711434622
1774377073.9163132,1443,865,1004,877,-1.598124373634718,47.82613256707602,-51.36116906823246
1774377073.946002,1443,866,1634,547,0.5394969913071841,0.0,72.00084996836978
1774377073.983095,1499,1013,1646,640,0.37541146983111995,1509.7219033417107,-4.423634032029655
1774377074.0143611,1524,1060,1639,649,0.2728281976735086,799.5851761476285,-3.280962549517752
1774377074.050632,1002,690,1661,641,1.4965778190195884,-14391.71955748664,33.73919800573419
1774377074.12042,957,798,1680,592,1.2932275282479966,-644.8101888545738,-2.9138297643569473
1774377074.185329,1436,856,1697,626,0.8484509279173272,7379.564279627399,-6.8523121340591215
1774377074.2132459,1101,967,1716,618,1.0546321367042581,-11999.89615003587,7.385531622483684
1774377074.250104,974,795,1732,615,1.3376477468786352,-3445.648653893424,7.6785224899855775
1774377074.3206668,1570,1012,1760,605,0.4367616588039879,8446.37211533913,-12.767146196997741
1774377074.347768,1571,941,1784,587,0.541664829639266,36.8986284980338,3.870783128916701
1774377074.382528,1591,957,1787,591,0.4916575229719661,575.3740208787742,-1.438645255524114
1774377074.41552,1645,1020,1801,594,0.3510308867424203,1636.766075532238,-4.262461249939506
1774377074.4507258,1586,914,1841,531,0.5873998308658989,-1675.8582728356268,6.7139127195042985
1774377074.516363,1698,1000,1875,450,0.31135136715592404,1706.351744629534,-4.205676586194805
1774377074.54651,1706,953,1750,765,0.2299044281319047,265.3657055185613,-2.7016530545545168
1774377074.581883,1736,943,1865,643,0.40609805831761564,848.1051460924073,4.981024148973465
1774377074.61713,1790,963,1894,444,0.19776606742833255,1532.0414781144098,-5.910615764083982
1774377074.649337,1806,928,1897,450,0.18812536994648205,496.786225071436,-0.29933535681651324
1774377074.678009,1877,939,1873,775,-0.024385409172718538,2476.285217738381,-7.411792971027362
1774377074.716057,1916,901,1903,442,-0.028314870681310483,1025.0202462637467,-0.10327634880053407
1774377074.750805,1916,901,1902,447,-0.03082723546165833,0.0,-0.07230276341005813
1774377074.779982,1822,824,1904,444,0.212530630112998,-3221.6948797986565,8.340689249793618
1774377074.8169,1918,939,1907,435,-0.021821932321208205,2600.3628402596146,-6.347934321599282
1774377074.8500109,1914,966,640,856,-1.4846677028323283,-120.80629621895635,-44.180244868753455
1774377074.876076,1916,830,634,856,-1.591074358137714,76.73092156414361,-4.082340361070209
1774377074.918394,1906,640,657,874,-1.755999251170415,-236.30547339361672,-3.8972654922484002
